month,state,permit,handgun,long_gun,other,multiple,totals
2017-05-01,Colorado,5408.0,17085.0,11165.0,1102.0,988,36008
2017-05-01,Connecticut,8101.0,5951.0,1862.0,222.0,0,16149
2017-05-01,Delaware,863.0,1752.0,1087.0,69.0,72,4012
2017-05-01,Florida,19014.0,49700.0,18476.0,3001.0,1907,96556
2017-05-01,Georgia,14860.0,12163.0,6211.0,406.0,442,36905
2017-05-01,Hawaii,1114.0,0.0,0.0,0.0,0,1117
2017-05-01,Idaho,4933.0,3267.0,3699.0,194.0,181,13065
2017-05-01,Illinois,14857.0,22244.0,9252.0,0.0,774,121746
2017-05-01,Indiana,24235.0,18110.0,9483.0,1060.0,618,54347
2017-05-01,Iowa,6872.0,196.0,1759.0,53.0,3,10232
2017-05-01,Kansas,1933.0,5022.0,3818.0,369.0,295,12337
2017-05-01,Kentucky,374078.0,8690.0,5378.0,223.0,433,391740
2017-05-01,Louisiana,1574.0,10362.0,6302.0,731.0,544,21311
2017-05-01,Maine,751.0,3236.0,2540.0,224.0,184,7200
2017-05-01,Maryland,2378.0,4539.0,4244.0,212.0,30,11660
2017-05-01,Massachusetts,8372.0,5100.0,2526.0,359.0,164,16651
2017-05-01,Michigan,20040.0,10483.0,7055.0,402.0,191,38548
2017-05-01,Minnesota,38515.0,7916.0,7597.0,631.0,327,55570
2017-05-01,Mississippi,1743.0,7002.0,3938.0,277.0,326,15680
2017-05-01,Missouri,685.0,18290.0,11468.0,1067.0,857,34965
2017-05-01,Montana,1460.0,2660.0,3762.0,170.0,199,9418
2017-05-01,Nebraska,3517.0,109.0,1256.0,23.0,5,5025
2017-05-01,Nevada,2017.0,4630.0,2288.0,242.0,234,9803
2017-05-01,New Hampshire,1503.0,4614.0,2472.0,158.0,5,8868
2017-05-01,New Jersey,0.0,5569.0,2931.0,194.0,0,8694
2017-05-01,New Mexico,1183.0,5204.0,3381.0,394.0,263,11291
2017-05-01,New York,3224.0,11633.0,12857.0,957.0,183,31294
2017-05-01,North Carolina,24726.0,1363.0,9129.0,673.0,206,39413
2017-05-01,North Dakota,1017.0,1413.0,1866.0,95.0,57,4654
2017-05-01,Ohio,13712.0,25230.0,12924.0,1375.0,1059,56229
2017-05-01,Oklahoma,0.0,10599.0,7270.0,897.0,728,22693
2017-05-01,Oregon,3978.0,13261.0,9115.0,0.0,3,26466
2017-05-01,Pennsylvania,24962.0,42646.0,11123.0,157.0,0,79725
2017-05-01,Rhode Island,0.0,1048.0,541.0,82.0,182,1883
2017-05-01,South Carolina,14550.0,9258.0,4234.0,494.0,617,31248
2017-05-01,South Dakota,1331.0,2369.0,2578.0,253.0,145,7004
2017-05-01,Tennessee,23584.0,22198.0,10745.0,1187.0,0,57763
2017-05-01,Texas,24168.0,42366.0,27991.0,2991.0,2226,109732
2017-05-01,Utah,16351.0,3204.0,3144.0,214.0,0,23844
2017-05-01,Vermont,0.0,1306.0,1132.0,83.0,49,2577
2017-05-01,Virginia,1148.0,21697.0,12181.0,969.0,0,36007
2017-05-01,Washington,14176.0,15915.0,9682.0,1617.0,584,45816
2017-05-01,West Virginia,2141.0,5818.0,4329.0,262.0,321,15085
2017-05-01,Wisconsin,13117.0,14070.0,9467.0,709.0,58,37888
